Year,Week Reported,County,State,Positive Cases
2012,42,Kern,California,3
2012,40,Kings,California,2
2012,48,Kings,California,1
2012,45,Lake,California,1
2012,29,Los Angeles,California,1
2012,33,Los Angeles,California,1
2012,34,Los Angeles,California,2
2012,36,Los Angeles,California,3
2012,37,Los Angeles,California,5
2012,38,Los Angeles,California,9
2012,39,Los Angeles,California,9
2012,40,Los Angeles,California,16
2012,41,Los Angeles,California,18
2012,42,Los Angeles,California,13
2012,43,Los Angeles,California,14
2012,44,Los Angeles,California,13
2012,45,Los Angeles,California,14
2012,46,Los Angeles,California,13
2012,47,Los Angeles,California,6
2012,48,Los Angeles,California,1
2012,49,Los Angeles,California,6
2012,50,Los Angeles,California,7
2012,51,Los Angeles,California,5
2012,52,Los Angeles,California,7
2012,37,Madera,California,1
2012,53,Madera,California,2
2012,29,Merced,California,1
2012,35,Merced,California,2
2012,36,Merced,California,2
2012,37,Merced,California,2
2012,39,Merced,California,1
2012,40,Merced,California,3
2012,41,Merced,California,1
2012,42,Merced,California,1
2012,40,Monterey,California,1
2012,31,Orange,California,1
2012,35,Orange,California,1
2012,37,Orange,California,3
2012,38,Orange,California,1
2012,39,Orange,California,5
2012,40,Orange,California,8
2012,41,Orange,California,3
2012,42,Orange,California,8
2012,43,Orange,California,1
2012,44,Orange,California,4
2012,46,Orange,California,1
2012,48,Orange,California,3
2012,51,Orange,California,2
2012,52,Orange,California,1
2012,34,Placer,California,1
2012,35,Placer,California,2
2012,37,Placer,California,2
2012,39,Placer,California,1
2012,41,Placer,California,3
2012,42,Placer,California,1
2012,44,Placer,California,2
2012,34,Riverside,California,1
2012,36,Riverside,California,1
2012,37,Riverside,California,1
2012,38,Riverside,California,4
2012,39,Riverside,California,2
2012,40,Riverside,California,1
2012,42,Riverside,California,2
2012,44,Riverside,California,1
2012,45,Riverside,California,2
2012,46,Riverside,California,1
2012,47,Riverside,California,1
2012,48,Riverside,California,1
2012,49,Riverside,California,1
2012,32,Sacramento,California,2
2012,35,Sacramento,California,1
2012,36,Sacramento,California,2
2012,37,Sacramento,California,3
2012,38,Sacramento,California,1
2012,39,Sacramento,California,5
2012,40,Sacramento,California,1
2012,43,Sacramento,California,6
2012,44,Sacramento,California,5
